state,total exports,beef,pork,poultry,dairy
Alabama,1390.63,34.4,10.6,481,4.06
Alaska,13.31,0.2,0.1,0,0.19
Arizona,1463.17,71.3,17.9,0,105.48
Arkansas,3586.02,53.2,29.4,562.9,3.53
 California,16472.88,228.7,11.1,225.4,929.95
Colorado,1851.33,261.4,66,14,71.94
Connecticut,259.62,1.1,0.1,6.9,9.49
Delaware,282.19,0.4,0.6,114.7,2.3
Florida,3764.09,42.6,0.9,56.9,66.31
Georgia,2860.84,31,18.9,630.4,38.38
Hawaii,401.84,4,0.7,1.3,1.16
Idaho,2078.89,119.8,0,2.4,294.6
Illinois,8709.48,53.7,394,14,45.82
Indiana,5050.23,21.9,341.9,165.6,89.7
Iowa,11273.76,289.8,1895.6,155.6,107
Kansas,4589.01,659.3,179.4,6.4,65.45
Kentucky,1889.15,54.8,34.2,151.3,28.27
Louisiana,1914.23,19.8,0.8,77.2,6.02
Maine,278.37,1.4,0.5,10.4,16.18
Maryland,692.75,5.6,3.1,127,24.81
Massachusetts,248.65,0.6,0.5,0.6,5.81
Michigan,3164.16,37.7,118.1,32.6,214.82
Minnesota,7192.33,112.3,740.4,189.2,218.05
Mississippi,2170.8,12.8,30.4,370.8,5.45
Missouri,3933.42,137.2,277.3,196.1,34.26
Montana,1718,105,16.7,1.7,6.82
Nebraska,7114.13,762.2,262.5,31.4,30.07
Nevada,139.89,21.8,0.2,0,16.57
New Hampshire,73.06,0.6,0.2,0.8,7.46
New Jersey,500.4,0.8,0.4,4.6,3.37
New Mexico,751.58,117.2,0.1,0.3,191.01
New York,1488.9,22.2,5.8,17.7,331.8
North Carolina,3806.05,24.8,702.8,598.4,24.9
North Dakota,3761.96,78.5,16.1,0.5,8.14
Ohio,3979.79,36.2,199.1,129.9,134.57
Oklahoma,1646.41,337.6,265.3,131.1,24.35
Oregon,1794.57,58.8,1.4,14.2,63.66
Pennsylvania,1969.87,50.9,91.3,169.8,280.87
Rhode Island,31.59,0.1,0.1,0.2,0.52
South Carolina,929.93,15.2,10.9,186.5,7.62
South Dakota,3770.19,193.5,160.2,29.3,46.77
Tennessee,1535.13,51.1,17.6,82.4,21.18
Texas,6648.22,961,42.7,339.2,240.55
Utah,453.39,27.9,59,23.1,48.6
Vermont,180.14,6.2,0.2,0.9,65.98
Virginia,1146.48,39.5,16.9,164.7,47.85
Washington,3894.81,59.2,0,35.6,154.18
West Virginia,138.89,12,0.3,45.4,3.9
Wisconsin,3090.23,107.3,38.6,34.5,633.6
Wyoming,349.69,75.1,33.2,0.1,2.89
